dataset,protocol,family,n,accuracy_pct,accuracy_ci_low_pct,accuracy_ci_high_pct,balanced_accuracy_pct,bacc_ci_low_pct,bacc_ci_high_pct,macro_f1_pct,f1_ci_low_pct,f1_ci_high_pct
BFF-15,paper_4template,bengali,2656,25.301204819277107,24.32228922843933,26.242470741271973,21.8860627284565,20.766611695289612,23.007576912641525,16.307356580457455,15.316508635878561,17.310997173190117
BFF-15,paper_4template,romanized,2656,24.887048192771086,23.682229220867157,26.167169213294983,23.929757714262237,22.664713598787785,25.287294313311577,19.05369826374759,18.118391409516335,19.989985190331936
BFF-15,paper_4template,english,2656,29.40512048192771,28.50150465965271,30.308735370635986,28.43223822330393,27.343356087803837,29.53190542757511,17.870272983468084,16.92455179989338,18.81622638553381
BFF-15,paper_4template,scientific,2656,16.114457831325304,14.796686172485352,17.432229220867157,15.96233583779699,14.667731411755087,17.24384244531393,13.563596278888992,12.366099748760462,14.747807458043097
SylFishBD,paper_4template,bengali,7665,10.084801043705154,9.615133702754974,10.541748087853192,16.356148045462724,15.63943900167942,17.05168552696705,6.036475082110733,5.705156065523624,6.354765929281711
SylFishBD,paper_4template,romanized,7665,14.742335290280495,14.02478814125061,15.459883213043213,14.784645894280057,14.05032344162464,15.497887060046194,12.064435660265962,11.39286644756794,12.722713463008404
SylFishBD,paper_4template,english,7665,23.783431180691455,23.000651597976685,24.59230273962021,18.013950171821296,17.347978428006172,18.700325191020966,15.624167505242994,14.873777851462364,16.389390490949154
SylFishBD,paper_4template,scientific,7665,9.1324200913242,8.506196737289429,9.745597094297409,10.265735636258698,9.539909642189741,10.988452732563019,9.75041167776428,9.013346191495657,10.45123202726245
BFF-15,name_only,bengali,2656,8.772590361445783,8.772590011358261,8.772590011358261,14.285714285714285,14.28571492433548,14.28571492433548,2.3043069772041735,2.304306998848915,2.304306998848915
BFF-15,name_only,romanized,2656,14.57078313253012,14.457830786705017,14.721386134624481,14.417379855167873,14.31863009929657,14.549045264720917,3.943511609168842,3.7434084247797728,4.192037936300038
BFF-15,name_only,english,2656,31.588855421686745,30.496046468615535,32.68072307109833,34.33696928022073,33.22513356804848,35.457336381077766,25.248210231234097,24.119902476668358,26.357407420873642
BFF-15,name_only,scientific,2656,20.783132530120483,20.030120015144348,21.611446142196655,18.6426192634414,17.933631539344788,19.405863918364048,10.903548588327745,9.970836229622364,11.841162499040365
SylFishBD,name_only,bengali,7665,10.293542074363993,10.293541848659515,10.293541848659515,14.285714285714285,14.28571492433548,14.28571492433548,2.6668469351540445,2.666531503200531,2.66747809946537
SylFishBD,name_only,romanized,7665,17.234181343770384,17.142857611179352,17.3255056142807,14.238546657972512,14.160518981516363,14.322881400585175,4.297137232763116,4.209148716181517,4.42724360153079
SylFishBD,name_only,english,7665,29.562948467058053,28.83235514163971,30.319634079933167,32.23666580002734,31.418734639883038,33.103149458765984,21.601346578079877,21.039220206439495,22.178588919341564
SylFishBD,name_only,scientific,7665,22.674494455316374,22.139595448970795,23.20939302444458,26.50457712402195,25.814993754029274,27.133767828345302,15.694402243774322,15.114192180335523,16.271769665181637
